,公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
8,2423,固緯,125854,163216,109059,-22.89,15.39,125854,109059,15.39
9,2433,互盛電,111109,120637,107363,-7.89,3.48,111109,107363,3.48
10,2461,光群雷射,37998,56401,38184,-32.62,-0.48,37998,38184,-0.48
11,2464,盟立,537673,682748,382963,-21.24,40.39,537673,382963,40.39
12,2477,美隆電,419811,377475,223512,11.21,87.82,419811,223512,87.82
13,2482,連宇,70642,88904,56280,-20.54,25.51,70642,56280,25.51
14,2488,漢平,90740,114851,93219,-20.99,-2.65,90740,93219,-2.65
15,2495,普安,209883,208785,208270,0.52,0.77,209883,208270,0.77
16,2497,怡利電子,74022,100620,46089,-26.43,60.6,74022,46089,60.6
17,3018,同開科技,30345,129348,7564,-76.54,301.17,30345,7564,301.17
18,3030,德律科技,286868,136596,210896,110.01,36.02,286868,210896,36.02
19,3043,科風,538049,535499,226616,0.47,137.42,538049,226616,137.42
20,3052,夆典,141020,134303,240956,5.0,-41.47,141020,240956,-41.47
21,3305,昇貿科技,365616,303530,265080,20.45,37.92,365616,265080,37.92
22,3450,聯鈞,205338,216115,158984,-4.98,29.15,205338,158984,29.15
23,3518,柏騰科技,11603,19334,17158,-39.98,-32.37,11603,17158,-32.37
24,3617,碩天科技,197102,319072,140848,-38.22,39.93,197102,140848,39.93
25,6139,亞翔工程,249023,353110,201682,-29.47,23.47,249023,201682,23.47
26,6192,巨路國際,390050,332680,324196,17.24,20.31,390050,324196,20.31
27,6196,帆宣科技,510590,1686660,248361,-69.72,105.58,510590,248361,105.58
28,6197,佳必琪,212659,179121,359777,18.72,-40.89,212659,359777,-40.89
29,6201,亞弘電,324711,251970,338659,28.86,-4.11,324711,338659,-4.11
30,6215,和椿科技,103852,99831,92190,4.02,12.64,103852,92190,12.64
31,8021,尖點,105632,97644,73679,8.18,43.36,105632,73679,43.36
32,8201,無敵,188881,211878,269398,-10.85,-29.88,188881,269398,-29.88
0,2616,山隆通運,1384165,1368342,1164491,1.15,18.86,1384165,1164491,18.86
1,6505,台塑石化,72468119,70856712,73281800,2.27,-1.11,72468119,73281800,-1.11
2,8926,台汽電,83989,91134,82897,-7.84,1.31,83989,82897,1.31
3,9908,大台北,472747,439557,463644,7.55,1.96,472747,463644,1.96
4,9918,欣天然,236086,253845,238170,-6.99,-0.87,236086,238170,-0.87
5,9926,新海瓦斯,247139,214096,243301,15.43,1.57,247139,243301,1.57
6,9931,欣高,127432,105192,121232,21.14,5.11,127432,121232,5.11
7,9937,全國,2632672,2600779,2102977,1.22,25.18,2632672,2102977,25.18
0,1436,福益,763,2748,891,-72.23,-14.36,763,891,-14.36
1,1442,名軒,402800,260712,157330,54.49,156.02,402800,157330,156.02
2,1805,寶徠,5836,130385,36097,-95.52,-83.83,5836,36097,-83.83
3,1808,潤隆,67881,69446,139704,-2.25,-51.41,67881,139704,-51.41
4,2501,國建,21221,47988,57723,-55.77,-63.23,21221,57723,-63.23
5,2504,國產,938426,901104,852335,4.14,10.1,938426,852335,10.1
6,2505,國揚實業,20596,59852,30448,-65.58,-32.35,20596,30448,-32.35
7,2506,太設,64535,247820,125148,-73.95,-48.43,64535,125148,-48.43
8,2509,全坤建,398221,653847,252386,-39.09,57.78,398221,252386,57.78
9,2511,太子,720621,1802510,363674,-60.02,98.15,720621,363674,98.15
10,2515,中工,1125147,1362913,1221715,-17.44,-7.9,1125147,1221715,-7.9
11,2516,新亞,637477,715327,513131,-10.88,24.23,637477,513131,24.23
12,2520,冠德,162935,185550,149953,-12.18,8.65,162935,149953,8.65
13,2524,京城,199034,376951,188798,-47.19,5.42,199034,188798,5.42
14,2527,宏璟,21381,31823,54538,-32.81,-60.79,21381,54538,-60.79
15,2528,皇普建設,201,214,2847,-6.07,-92.93,201,2847,-92.93
16,2530,華建,43490,106471,480582,-59.15,-90.95,43490,480582,-90.95
17,2534,宏盛,9315,15080,203557,-38.22,-95.42,9315,203557,-95.42
18,2535,達工,1030016,1350186,832085,-23.71,23.78,1030016,832085,23.78
19,2536,宏普建設,156756,88486,640698,77.15,-75.53,156756,640698,-75.53
20,2537,聯上開發,45,154012,18447,-99.97,-99.75,45,18447,-99.75
21,2538,基泰建設,71061,950549,67987,-92.52,4.52,71061,67987,4.52
22,2539,櫻花建設,97682,227115,38365,-56.99,154.61,97682,38365,154.61
